layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,64,28,28,16,3,1,26.0,12460032.0,12.9980,0.9586114786890291
local,1,64,28,28,16,3,2,13.5,3359232.0,5.2770,0.6365798749289369
local,1,64,28,28,16,3,4,7.25,968832.0,2.2540,0.4298278615794144
local,1,64,28,28,16,5,1,24.0,29491200.0,20.4990,1.4386653007463779
local,1,64,28,28,16,5,2,12.5,8000000.0,6.7400,1.1869436201780414
local,1,64,28,28,16,5,4,6.75,2332800.0,2.6950,0.8656029684601114
local,1,64,28,28,16,7,1,22.0,48570368.0,34.3080,1.4157155182464733
local,1,64,28,28,16,7,2,11.5,13271552.0,10.0960,1.3145356576862124
local,1,64,28,28,16,7,4,6.25,3920000.0,4.1690,0.940273446869753
local,1,64,28,28,16,9,1,20.0,66355200.0,44.9860,1.4750188947672611
local,1,64,28,28,16,9,2,10.5,18289152.0,13.4850,1.3562589543937709
local,1,64,28,28,16,9,4,5.75,5484672.0,5.8250,0.9415745922746781
local,1,64,28,28,24,3,1,26.0,18690048.0,22.7020,0.8232775966875164
local,1,64,28,28,24,3,2,13.5,5038848.0,7.4430,0.6769915356711004
local,1,64,28,28,24,3,4,7.25,1453248.0,3.7130,0.39139455965526526
local,1,64,28,28,24,5,1,24.0,44236800.0,31.1720,1.419119722828179
local,1,64,28,28,24,5,2,12.5,12000000.0,9.6320,1.2458471760797343
local,1,64,28,28,24,5,4,6.75,3499200.0,3.7640,0.9296493092454835
local,1,64,28,28,24,7,1,22.0,72855552.0,49.1520,1.48225
local,1,64,28,28,24,7,2,11.5,19907328.0,15.8410,1.2566964206805125
local,1,64,28,28,24,7,4,6.25,5880000.0,5.8460,1.0058159425248032
local,1,64,28,28,24,9,1,20.0,99532800.0,66.0410,1.5071364758256236
local,1,64,28,28,24,9,2,10.5,27433728.0,19.4390,1.4112725963269714
local,1,64,28,28,24,9,4,5.75,8227008.0,8.4660,0.9717703756201277
local,1,64,28,28,32,3,1,26.0,24920064.0,29.0450,0.8579812015837492
local,1,64,28,28,32,3,2,13.5,6718464.0,12.3900,0.5422489104116223
local,1,64,28,28,32,3,4,7.25,1937664.0,4.6130,0.42004422284847165
local,1,64,28,28,32,5,1,24.0,58982400.0,39.3100,1.5004426354617144
local,1,64,28,28,32,5,2,12.5,16000000.0,12.2350,1.3077237433592155
local,1,64,28,28,32,5,4,6.75,4665600.0,4.8080,0.9703826955074876
local,1,64,28,28,32,7,1,22.0,97140736.0,65.5510,1.4819108175313878
local,1,64,28,28,32,7,2,11.5,26543104.0,19.5160,1.3600688665710188
local,1,64,28,28,32,7,4,6.25,7840000.0,7.7090,1.016993124918926
local,1,64,28,28,32,9,1,20.0,132710400.0,87.4500,1.517557461406518
local,1,64,28,28,32,9,2,10.5,36578304.0,25.4670,1.4363020379314406
local,1,64,28,28,32,9,4,5.75,10969344.0,10.8800,1.0082117647058824
local,1,64,28,28,48,3,1,26.0,37380096.0,44.9010,0.8325003006614552
local,1,64,28,28,48,3,2,13.5,10077696.0,16.8430,0.5983314136436502
local,1,64,28,28,48,3,4,7.25,2906496.0,6.4530,0.45041004184100414
local,1,64,28,28,48,5,1,24.0,88473600.0,57.9830,1.5258541296586932
local,1,64,28,28,48,5,2,12.5,24000000.0,18.0670,1.3283887751148502
local,1,64,28,28,48,5,4,6.75,6998400.0,6.9950,1.0004860614724802
local,1,64,28,28,48,7,1,22.0,145711104.0,96.2580,1.513755781337655
local,1,64,28,28,48,7,2,11.5,39814656.0,28.2810,1.4078234857324707
local,1,64,28,28,48,7,4,6.25,11760000.0,11.5460,1.018534557422484
local,1,64,28,28,48,9,1,20.0,199065600.0,129.7490,1.534236102012347
local,1,64,28,28,48,9,2,10.5,54867456.0,37.1150,1.4783094705644617
local,1,64,28,28,48,9,4,5.75,16454016.0,19.4990,0.8438389661008258
