layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,256,4000,1,1,4096,4194304000,95.6490,43.850996873987185
fc,256,3000,1,1,64,49152000,3.4360,14.30500582072177
fc,256,3000,1,1,128,98304000,4.0040,24.55144855144855
fc,256,3000,1,1,196,150528000,5.4390,27.675675675675674
fc,256,3000,1,1,256,196608000,5.9310,33.14921598381386
fc,256,3000,1,1,320,245760000,6.5380,37.58947690425206
fc,256,3000,1,1,384,294912000,7.4440,39.61740999462654
fc,256,3000,1,1,512,393216000,9.2600,42.46393088552916
fc,256,3000,1,1,768,589824000,12.7750,46.17017612524462
fc,256,3000,1,1,1024,786432000,16.3360,48.141038197845255
fc,256,3000,1,1,1536,1179648000,23.8210,49.521346710885354
fc,256,3000,1,1,2048,1572864000,29.5430,53.23981992350134
fc,256,3000,1,1,2560,1966080000,38.0680,51.6465272669959
fc,256,3000,1,1,3072,2359296000,44.6940,52.787756745871924
fc,256,3000,1,1,3200,2457600000,46.9020,52.398618395804014
fc,256,3000,1,1,4096,3145728000,56.1030,56.07058446072402
fc,256,768,1,1,64,12582912,0.8650,14.546719075144509
fc,256,768,1,1,128,25165824,1.1650,21.60156566523605
fc,256,768,1,1,196,38535168,1.5320,25.153503916449086
fc,256,768,1,1,256,50331648,1.6170,31.126560296846012
fc,256,768,1,1,320,62914560,1.9200,32.768
fc,256,768,1,1,384,75497472,2.1660,34.85571191135734
fc,256,768,1,1,512,100663296,2.5860,38.92625522041764
fc,256,768,1,1,768,150994944,3.4620,43.61494627383016
fc,256,768,1,1,1024,201326592,4.4000,45.756043636363636
fc,256,768,1,1,1536,301989888,6.2270,48.496850489802476
fc,256,768,1,1,2048,402653184,8.1150,49.61838373382624
fc,256,768,1,1,2560,503316480,10.0200,50.231185628742516
fc,256,768,1,1,3072,603979776,11.7260,51.507741429302406
fc,256,768,1,1,3200,629145600,12.6470,49.74662765873329
fc,256,768,1,1,4096,805306368,15.4530,52.113270432925646
fc,256,512,1,1,64,8388608,0.6980,12.018063037249284
fc,256,512,1,1,128,16777216,0.8470,19.807811097992918
fc,256,512,1,1,196,25690112,1.0860,23.65572007366482
fc,256,512,1,1,256,33554432,1.1810,28.411881456392887
fc,256,512,1,1,320,41943040,1.3270,31.60741522230595
fc,256,512,1,1,384,50331648,1.5050,33.44295548172758
fc,256,512,1,1,512,67108864,1.8590,36.09944271113502
fc,256,512,1,1,768,100663296,2.4810,40.57367835550182
fc,256,512,1,1,1024,134217728,3.1240,42.96342125480154
fc,256,512,1,1,1536,201326592,4.3920,45.83938797814208
fc,256,512,1,1,2048,268435456,5.6680,47.35981933662667
fc,256,512,1,1,2560,335544320,7.5370,44.519612577948784
fc,256,512,1,1,3072,402653184,8.8810,45.33872131516721
